Date,Price,Open,High,Low,Change %,
16-Dec-10,1.0109,1.0131,1.0135,1.0102,-0.22%,12/16/2010
15-Dec-10,1.0131,1.003,1.0131,1.0029,1.01%,12/15/2010
14-Dec-10,1.003,1.0052,1.0052,1.003,-0.22%,12/14/2010
13-Dec-10,1.0052,1.0163,1.0163,1.0052,-0.97%,12/13/2010
10-Dec-10,1.015,1.0163,1.0165,1.015,-0.13%,12/10/2010
9-Dec-10,1.0163,1.0215,1.0218,1.0163,-0.51%,12/9/2010
8-Dec-10,1.0215,1.0176,1.0215,1.0172,0.38%,12/8/2010
7-Dec-10,1.0176,1.0116,1.0176,1.0109,0.59%,12/7/2010
6-Dec-10,1.0116,1.0083,1.0116,1.0078,0.38%,12/6/2010
3-Dec-10,1.0078,1.0244,1.0254,1.0078,-1.62%,12/3/2010
2-Dec-10,1.0244,1.036,1.0362,1.0241,-1.12%,12/2/2010
1-Dec-10,1.036,1.0428,1.043,1.036,-0.65%,12/1/2010
30-Nov-10,1.0428,1.0398,1.0428,1.0397,0.29%,11/30/2010
29-Nov-10,1.0398,1.0349,1.0398,1.0324,0.31%,11/29/2010
26-Nov-10,1.0366,1.0232,1.0366,1.023,1.31%,11/26/2010
25-Nov-10,1.0232,1.0163,1.0232,1.0158,0.68%,11/25/2010
24-Nov-10,1.0163,1.0257,1.0262,1.0163,-0.92%,11/24/2010
23-Nov-10,1.0257,1.0137,1.0257,1.0136,1.18%,11/23/2010
22-Nov-10,1.0137,1.0106,1.0137,1.0097,-0.04%,11/22/2010
19-Nov-10,1.0141,1.0099,1.0141,1.0094,0.42%,11/19/2010
18-Nov-10,1.0099,1.0189,1.0192,1.0099,-0.88%,11/18/2010
17-Nov-10,1.0189,1.0251,1.026,1.0189,-0.60%,11/17/2010
16-Nov-10,1.0251,1.0168,1.0251,1.0164,0.82%,11/16/2010
15-Nov-10,1.0168,1.0112,1.0168,1.0111,0.18%,11/15/2010
12-Nov-10,1.015,1.0036,1.015,1.0033,1.14%,11/12/2010
11-Nov-10,1.0036,0.996,1.0036,0.9956,0.76%,11/11/2010
10-Nov-10,0.996,0.9957,0.996,0.9953,0.03%,11/10/2010
9-Nov-10,0.9957,0.9892,0.9957,0.9891,0.66%,11/9/2010
8-Nov-10,0.9892,0.9842,0.9892,0.9838,0.48%,11/8/2010
5-Nov-10,0.9845,0.9848,0.9849,0.9845,-0.03%,11/5/2010
4-Nov-10,0.9848,0.9963,0.9966,0.9848,-1.15%,11/4/2010
3-Nov-10,0.9963,1.0011,1.0025,0.9963,-0.48%,11/3/2010
2-Nov-10,1.0011,1.0115,1.0118,1.0011,-1.03%,11/2/2010
1-Nov-10,1.0115,1.0137,1.0151,1.0115,-0.53%,11/1/2010
29-Oct-10,1.0169,1.0214,1.0217,1.0169,-0.44%,10/29/2010
28-Oct-10,1.0214,1.0272,1.0273,1.0214,-0.56%,10/28/2010
27-Oct-10,1.0272,1.0152,1.0272,1.0144,1.18%,10/27/2010
26-Oct-10,1.0152,1.0108,1.0152,1.0105,0.44%,10/26/2010
25-Oct-10,1.0108,1.0156,1.016,1.0108,-0.82%,10/25/2010
22-Oct-10,1.0192,1.0219,1.0223,1.0192,-0.26%,10/22/2010
21-Oct-10,1.0219,1.0133,1.0219,1.0131,0.85%,10/21/2010
20-Oct-10,1.0133,1.0338,1.0343,1.0133,-1.98%,10/20/2010
19-Oct-10,1.0338,1.0076,1.0338,1.0072,2.60%,10/19/2010
18-Oct-10,1.0076,1.0126,1.0127,1.0076,-0.35%,10/18/2010
15-Oct-10,1.0111,1.0099,1.0111,1.0098,0.12%,10/15/2010
14-Oct-10,1.0099,1.0071,1.0099,1.007,0.28%,10/14/2010
13-Oct-10,1.0071,1.0128,1.0132,1.0071,-0.56%,10/13/2010
12-Oct-10,1.0128,1.0181,1.0186,1.0128,-0.52%,10/12/2010
11-Oct-10,1.0181,1.0106,1.0181,1.0105,0.26%,10/11/2010
8-Oct-10,1.0155,1.019,1.0196,1.0155,-0.34%,10/8/2010
7-Oct-10,1.019,1.0246,1.0248,1.011,-0.55%,10/7/2010
6-Oct-10,1.0246,1.0289,1.0292,1.0246,-0.42%,10/6/2010
5-Oct-10,1.0289,1.0346,1.035,1.0289,-0.55%,10/5/2010
4-Oct-10,1.0346,1.0293,1.0346,1.0293,0.63%,10/4/2010
1-Oct-10,1.0281,1.0358,1.0361,1.0281,-0.74%,10/1/2010
30-Sep-10,1.0358,1.0319,1.0358,1.0316,0.38%,9/30/2010
29-Sep-10,1.0319,1.0345,1.0346,1.0319,-0.25%,9/29/2010
28-Sep-10,1.0345,1.0431,1.0433,1.0345,-0.82%,9/28/2010
27-Sep-10,1.0431,1.0418,1.0431,1.0415,0.09%,9/27/2010
24-Sep-10,1.0422,1.0562,1.0563,1.0422,-1.33%,9/24/2010
23-Sep-10,1.0562,1.0472,1.0562,1.0468,0.86%,9/23/2010
22-Sep-10,1.0472,1.0459,1.0472,1.0458,0.12%,9/22/2010
21-Sep-10,1.0459,1.0575,1.0577,1.0459,-1.10%,9/21/2010
20-Sep-10,1.0575,1.0677,1.0678,1.0575,-1.01%,9/20/2010
17-Sep-10,1.0683,1.0693,1.0693,1.0683,-0.09%,9/17/2010
16-Sep-10,1.0693,1.0647,1.0693,1.0647,0.43%,9/16/2010
15-Sep-10,1.0647,1.0642,1.0647,1.0636,0.05%,9/15/2010
14-Sep-10,1.0642,1.0716,1.0717,1.0609,-0.69%,9/14/2010
13-Sep-10,1.0716,1.0749,1.075,1.0716,-0.73%,9/13/2010
10-Sep-10,1.0795,1.0841,1.0842,1.0795,-0.42%,9/10/2010
9-Sep-10,1.0841,1.0896,1.0898,1.0841,-0.50%,9/9/2010
8-Sep-10,1.0896,1.0965,1.0965,1.0896,-0.63%,9/8/2010
7-Sep-10,1.0965,1.0937,1.0965,1.0933,0.26%,9/7/2010
6-Sep-10,1.0937,1.0929,1.0937,1.0898,0.24%,9/6/2010
3-Sep-10,1.0911,1.1004,1.1009,1.0911,-0.85%,9/3/2010
